"","ctrl_g1","taz_g1","ctrl_g2","taz_g2","ctrl_g3","taz_g3","ctrl_g4","taz_g4","ctrl_g5","taz_g5","ctrl_g6","taz_g6","ctrl_g7","taz_g7","ctrl_g8","taz_g8"
"POLR2J3",0,1.90922712950872,0.984459049285661,5.56758895844051,1.95470486670989,3.93890109829325,1.95652974448943,5.7987609579576,3.74230015576545,0.917748948034956,2.97719770995826,7.05941996797347,3.18401514333449,3.18220458641538,6.18588415453529,1.03015082331387
"POLR2J4",8.89249070142907,3.81845425901744,0.984459049285661,1.85586298614684,4.88676216677472,3.93890109829325,1.95652974448943,2.8993804789788,5.61345023364818,4.58874474017478,2.97719770995826,3.02546570056006,7.42936866778048,7.42514403496923,8.24784553938039,5.15075411656935
"POLR2K",50.3907806414314,28.6384069426308,42.3317391192834,41.7569171883038,58.6411460012967,39.3890109829325,52.8263031012147,52.1888486216184,64.5546776869541,49.5584431938876,53.5895587792486,64.5432682786146,75.3550250589163,64.7048265904461,54.6419766983951,59.7487477522045
"POLR2L",30.6296901938112,41.0483832844375,29.5337714785698,63.0993415289925,46.9129168010373,52.1904395523856,37.1740651452992,53.155308781278,27.1316761292995,54.1471879340624,38.7035702294574,66.5602454123213,37.1468433389024,45.6115990719538,39.1772663120568,67.9899543387154
"POLR2M",1.97610904476202,0,1.96891809857132,0,0.977352433354944,0.984725274573314,0,0,1.87115007788273,0.917748948034956,0.992399236652753,0,0,0,0,0
"POLR3A",50.3907806414314,39.1391561549288,33.4716076757125,51.9641636121114,40.0714497675527,38.4042857083592,39.1305948897886,34.7925657477456,38.3585765965959,36.7099579213982,47.6351633593321,41.3480312409875,35.0241665766794,38.1864550369846,39.1772663120568,38.1155804626132
"POLR3B",44.4624535071453,27.6837933778765,24.6114762321415,24.1262188199089,29.3205730006483,19.6945054914663,36.1958002730545,19.329203193192,29.0028262071823,13.7662342205243,29.7719770995826,27.2291913050405,27.5947979088989,15.9110229320769,21.6505945408735,15.4522623497081
"POLR3C",79.0443617904806,34.366088331157,60.0520020064253,32.4776022575697,46.9129168010373,38.4042857083592,45.0001841232569,29.9602649494476,43.9720268302441,35.7922089733633,50.6123610692904,42.3565198078408,32.9014898144564,32.8827807262923,43.301189081747,26.7839214061606
"POLR3D",52.3668896861934,16.2284306008241,49.2229524642831,26.9100132991291,43.0035070676176,23.6334065897595,39.1305948897886,25.1279641511496,43.9720268302441,29.3679663371186,42.6731671760684,28.2376798718939,35.0241665766794,27.5791064156,31.960401465099,35.0251279926716
"POLR3E",34.5819082833353,41.0483832844375,37.4094438728551,37.1172597229368,35.184687600778,12.8014285694531,33.2610056563203,22.2285836721708,29.9384012461236,28.4502173890836,40.6883687027629,23.1952370376271,23.3494443844529,27.5791064156,40.2082470044794,27.8140722294745
"POLR3F",31.6177447161922,21.0014984245959,32.4871486264268,23.1982873268355,15.6376389336791,21.6639560406129,23.4783569338732,27.0608844704688,18.7115007788273,19.2727279087341,25.8023801529716,21.1782599039204,15.9200757166725,16.9717577942154,15.4647103863382,16.4824131730219
"POLR3G",29.6416356714302,11.4553627770523,19.6891809857132,18.5586298614684,30.2979254340033,22.6486813151862,26.4131515506073,42.5242470250224,29.9384012461236,17.4372300126642,35.7263725194991,24.2037256044805,39.2695201011254,25.4576366913231,26.8054980029863,21.6331672895913
"POLR3GL",11.8566542685721,8.59152208278925,5.90675429571397,10.2072464238076,8.7961719001945,7.87780219658651,7.82611897795773,11.5975219159152,10.291325428355,11.0129873764195,21.8327832063606,13.1103513690936,10.613383811115,10.6073486213846,14.4337296939157,14.4221115263942
"POLR3H",41.4982899400023,36.2753154606657,30.5182305278555,19.4865613545418,30.2979254340033,26.5875824134795,37.1740651452992,28.993804789788,23.3893759735341,26.6147194930137,48.6275625959849,30.2546570056006,35.0241665766794,28.6398412777385,26.8054980029863,30.9045246994161
"POLR3K",7.90443617904806,11.4553627770523,6.89121334499963,10.2072464238076,9.77352433354944,9.84725274573313,19.5652974448943,14.496902394894,8.42017535047227,20.190476856769,6.94679465656927,12.1018628022402,16.981414097784,12.7288183456615,9.27882623180294,18.5427148196497
"POLRMT",19.7610904476202,29.5930205073852,23.6270171828559,16.7027668753215,13.6829340669692,13.7861538440264,20.543562317139,25.1279641511496,18.7115007788273,27.5324684410487,25.8023801529716,27.2291913050405,24.4107827655644,8.48587889710769,30.9294207726765,14.4221115263942
"POLRMTP1",0,0,0,0.927931493073419,0,0,0.978264872244716,0,0,0.917748948034956,0,1.00848856685335,2.12267676222299,2.12146972427692,0,0
"POM121",45.4505080295264,82.096766568875,48.2384934149974,66.8110675012861,59.6184984346516,61.0529670235454,55.7610977179488,99.5453964449388,62.6835276090714,78.9264095310062,59.5439541991652,100.848856685335,71.1096715344703,88.0409935574923,61.8588415453529,87.562819981679
"POM121B",0,0.954613564754361,0,2.78379447922026,0,0.984725274573314,0.978264872244716,0.9664601596596,0.935575038941364,0,0.992399236652753,1.00848856685335,0,4.24293944855384,0,0
"POM121C",49.4027261190504,103.098264993471,62.0209201049967,103.928327224223,75.2561373683307,111.273956026784,57.7176274624382,103.411237083577,53.3277772196577,83.515154271181,51.6047603059431,112.950719487576,56.2509341989093,94.405402730323,70.1066870847333,90.6532724516206
"POM121L9P",0,0,1.96891809857132,0.927931493073419,0,0,0,0,1.87115007788273,0,0.992399236652753,0,0,0,0,0
"POMGNT1",75.0921437009566,72.5506309213314,57.0986248585683,61.2434785428456,70.369375201556,65.976593396412,61.6306869514171,65.7192908568528,80.4594533489573,57.8181837262022,68.4755473290399,63.5347797117612,61.5576261044668,68.947766039,81.4474747013813,67.9899543387154
"POMGNT2",8.89249070142907,17.1830441655785,10.8290495421423,7.42345194458735,9.77352433354944,6.89307692201319,9.78264872244716,8.6981414369364,9.35575038941364,10.0952384283845,17.8631862597495,11.0933742353869,25.4721211466759,10.6073486213846,12.3717683090706,22.6633181129051
"POMK",6.91638165666705,7.63690851803489,5.90675429571397,8.35138343766077,15.6376389336791,8.86252747115982,9.78264872244716,12.5639820755748,10.291325428355,8.25974053231461,9.92399236652753,7.05941996797347,12.736060573338,10.6073486213846,8.24784553938039,10.3015082331387
"POMP",70.1518710890515,89.7336750869099,64.9742972528536,81.6579713904608,98.7125957688494,71.8849450438519,79.239454651822,84.0820338903852,70.1681279206023,87.1861500633208,98.2475244286225,86.7300167493883,113.56320677893,81.6765843846615,85.5713974710715,97.8643282148177
"POMT1",15.8088723580961,24.8199526836134,21.6580990842845,32.4776022575697,26.3885157005835,31.511208786346,14.6739730836707,24.16150399149,24.3249510124755,36.7099579213982,18.8555854964023,28.2376798718939,25.4721211466759,25.4576366913231,20.619613848451,38.1155804626132
"POMT2",26.6774721042872,42.0029968491919,28.5493124292842,24.1262188199089,27.3658681339384,32.4959340609193,25.4348866783626,28.993804789788,33.6807014018891,32.1212131812235,29.7719770995826,19.1612827702137,37.1468433389024,33.9435155884308,35.0533435423666,31.93467552273
"POMZP3",5.92832713428605,7.63690851803489,3.93783619714264,4.63965746536709,4.88676216677472,2.95417582371994,1.95652974448943,5.7987609579576,4.67787519470682,11.0129873764195,1.98479847330551,5.04244283426676,5.30669190555748,22.2754321049077,3.09294207726765,6.18090493988322
"PON2",9.88054522381008,9.54613564754361,2.95337714785698,7.42345194458735,4.88676216677472,10.8319780203064,3.91305948897886,10.6310617562556,5.61345023364818,7.34199158427965,0,8.06790853482682,4.24535352444599,13.7895532078,5.15490346211274,8.24120658651096
