"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"G0S2",160.42887812403,-1.63506871261763,0.191967477055658,-8.51742564780162,1.63139021626336e-17,1.95176150183646e-15
"G2E3",34.5344905517119,0.355159106996382,0.186418271954581,1.90517326049944,0.0567575528252602,0.167652491256506
"G3BP1",361.843633507085,0.00143169682108562,0.0627023082979891,0.0228332394763134,0.981783293663184,0.995401719987439
"G3BP2",218.331400476565,0.36713570671006,0.0693378402433287,5.2948823531518,1.19093057186458e-07,2.38495446988984e-06
"G6PC3",35.3419939245878,-0.020602048841413,0.169118079949346,-0.12182049871654,0.903041179232808,0.952744829359352
"G6PD",59.3968351951819,0.940372414037348,0.130576481908494,7.20169819475108,5.94672065909109e-13,3.31440117698258e-11
"GAA",18.0748038923219,-0.0181073746757303,0.241212490259377,-0.0750681469946244,0.940160491308374,0.975225898675358
"GAB1",10.6452055756417,0.4350317032504,0.294970233561706,1.47483255512761,0.140257566437867,0.318783902231367
"GAB2",15.4491757013292,-0.769367454776905,0.242600053760297,-3.17134082557577,0.00151736999752602,0.00964196924252112
"GAB3",0.977445408089831,0.719978437353396,1.01886321502296,0.706648769665487,0.479784773476945,0.68397052761305
"GABARAP",82.8000254685834,0.124485688654397,0.116190164870602,1.07139609271605,0.283991368974274,0.501148564271325
"GABARAPL1",15.6240127052339,-0.833337247567805,0.252080144284746,-3.30584247296558,0.000946913068428921,0.00654058633900411
"GABARAPL2",25.4693904952651,0.214407070823299,0.189847633550381,1.12936393682463,0.258744339446502,0.473103286276489
"GABBR1",0.303994965035913,0.342145576364602,1.82859403134026,0.187108549246345,0.851575525208151,NA
"GABBR2",0.121192038377501,-0.0185312279452867,2.6254230284444,-0.00705837792405847,0.994368275992858,NA
"GABPA",35.2246806597333,0.0948715810080968,0.170194248613666,0.557431181023347,0.577232866442912,0.76126938330274
"GABPAP",1.34500719285038,1.39386281253478,0.824723031868918,1.69009807980762,0.091009192197825,0.235595144436004
"GABPB1",30.0123681675303,0.152388654878159,0.170638629199163,0.893048986582617,0.37183093991422,0.591570535839681
"GABPB1-AS1",6.24033547235436,-0.33547039404134,0.380415960152805,-0.881851523544355,0.377857104772316,0.597527449866705
"GABPB1-IT1",6.45865569716776,-0.295265193801335,0.368888224675114,-0.800419135258057,0.423467997995008,0.639070125725829
"GABPB2",10.9338734773981,0.634981341180808,0.287555756612937,2.20820250187347,0.0272301600817718,0.0973217001325853
"GABRE",10.5954000525373,0.0776427316943054,0.273407448305144,0.283981772170487,0.776424349533247,0.891619124768093
"GABRG1",0.120002130514189,-0.739872538767076,2.63387992571943,-0.280905948499146,0.778782538042508,NA
"GABRQ",0.0663336488194686,-0.379204151480189,3.06038250977364,-0.123907436495001,0.901388564855365,NA
"GABRR2",0.928576819856388,-0.222830099188837,0.908015843368622,-0.245403316270525,0.806144161496114,0.904328340723462
"GACAT2",0.73859095806983,0.469030031926979,1.01810938876511,0.460687267107788,0.645022991524383,0.805799017483259
