"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"FOXC1",24.7579242829387,-0.324701232949736,0.180920175034279,0.0320869515243123,0.11046953938338
"FOXCUT",0.184141908245392,-0.0389213809682408,0.31243370396808,0.636323149822842,NA
"FOXD2",0.316354846638012,0.0415568184255726,0.310837804073834,0.554099840394833,NA
"FOXD2-AS1",2.91390390567769,0.223732520752846,0.352058062826363,0.154845327175623,0.339592833524541
"FOXD3",0.737243761883599,-0.0620145492984855,0.309409037099912,0.406626984297245,0.625541504556614
"FOXD3-AS1",1.6452186786455,0.0138951949290722,0.284066520261635,0.904064085437373,0.953174601505797
"FOXD4",0.564191310532179,-0.0569981236814776,0.308615654756163,0.43158414027078,0.644867000288317
"FOXD4L1",0.25184287315542,0.0297058994617938,0.309221983056473,0.710140648013473,NA
"FOXD4L6",0.0643844264571169,0.016118056867879,0.31003609443852,0.910986091726001,NA
"FOXF2",8.25542818016689,-0.0663900560543445,0.230527223680583,0.670828241764879,0.823657372457623
"FOXH1",0.242193821839133,-0.00205314687378784,0.306975771047876,0.992266519557549,NA
"FOXJ2",29.0108100239804,-0.259484819814762,0.166482405937943,0.0677295898117754,0.190427724353286
"FOXJ3",91.7857603454547,-0.53185888903867,0.127367068087427,7.27763726099473e-06,9.67423849694299e-05
"FOXK1",65.7564790807192,0.103890766941202,0.126563251108318,0.367955103722018,0.587714474497464
"FOXK2",100.245858524826,0.0433658244873972,0.0938136316595152,0.628066070860036,0.794183530955058
"FOXL1",0.0579957183170887,0.0156848885687378,0.310002931210046,0.910986091726001,NA
"FOXM1",165.959523530739,0.0558727207763524,0.0807566210396739,0.473853160273921,0.679436218652191
"FOXN2",45.5354769334101,-0.803500357133469,0.210480272692783,1.60599592259872e-05,0.000193304522236123
"FOXN3",70.9526377589373,0.397917871957558,0.137716971912375,0.00143992331400945,0.0092469898655893
"FOXN3-AS1",0.425592542991379,0.0558611717820402,0.310412614998401,0.446144612475263,NA
"FOXO1",11.7159258733942,-1.35319177045607,0.294811889233003,3.54432820432479e-07,6.45514262724664e-06
"FOXO3",43.9514794480255,-0.280109352279816,0.176341813828487,0.0582755606854373,0.170946571801416
"FOXO3B",3.29213885492344,-0.259742675545747,0.391401922381073,0.105059032017697,0.261124719100332
"FOXO4",4.55079378349831,-0.13791190111446,0.28330024722072,0.367792891160451,0.587714474497464
"FOXO6",1.10041111361762,0.242759368406509,0.42336606262312,0.0594719310660131,0.173386312640901
"FOXO6-AS1",0.323576811547572,-0.0154852972299964,0.306984478792882,0.834898328624101,NA
"FOXP1",93.7253585386313,-0.790892311571514,0.125519314996306,4.03524188803008e-11,1.65194946672807e-09
