"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"SIGIRR",77.0959221341194,-0.489472500760006,0.163773543787847,0.00152854587837964,0.00405539501904422
"SIGLEC1",0.279389713389851,-0.103960499948951,0.507882899849208,0.569178061701039,NA
"SIGLEC10-AS1",8.14232776749597,0.833995922739441,0.375981598664028,0.00591832069692594,0.0141448193269561
"SIGLEC11",0.111227795968876,0.0555510602533709,0.507259924563262,0.822949519701173,NA
"SIGLEC14",0.267952646374714,0.0805964141959593,0.502082990293512,0.715191776090551,NA
"SIGLEC15",16.7331958912822,-2.91106446604408,0.312793585132056,2.08552328360339e-21,3.41847921627663e-20
"SIGLEC17P",0.0603913134482222,-0.0444574077481229,0.505758097197525,0.896724118835333,NA
"SIGLEC22P",1.3200287008934,-2.28016980813232,1.26025978928841,0.00199561675691901,0.00520097648854578
"SIGLEC29P",0.11898409921781,0.0565105537813316,0.507446828371773,0.822949519701173,NA
"SIGLEC5",1.83138514907489,-1.45157134298363,1.03241514829336,0.0104743548524897,0.0237243806709412
"SIGLEC6",1.5765616818282,0.477720976437187,0.627359912463511,0.105884003339716,0.182745430623686
"SIGLEC8",0.0522636510469787,-0.0428749500327179,0.505560382759084,0.896724118835333,NA
"SIGLEC9",0.415725703472084,-0.30065699786139,0.621773841292925,0.142773361999183,0.235056278066644
"SIGMAR1",4038.73324146534,0.137026199870336,0.0623591935659694,0.026838806659722,0.0550014089631058
"SIK1",1337.56769479675,-0.284331631201191,0.0624358716982697,4.36475612833328e-06,1.71014530118312e-05
"SIK2",2104.44619615809,0.0214813393678499,0.0490553730711595,0.66253729602878,0.763065758599814
"SIK3",1979.96323303669,-0.0255313687044335,0.0348802788726697,0.462813800440503,0.588623012237354
"SIKE1",2746.91285699285,-0.103287642193423,0.0470561262887509,0.0273331581568852,0.0559239689944369
"SIL1",1387.42653927824,-0.170716015872404,0.048013944971613,0.000353757882872204,0.00104697155599224
"SILC1",0.108044255122384,-0.0574249689352665,0.50766496901534,0.804404027940697,NA
"SIM1",0.704120605699894,0.0343103724139603,0.463060718239016,0.854612421541172,0.902663299061309
"SIM2",166.260785234522,-0.62492947487894,0.101156063215616,2.84444536670675e-10,1.83201081205271e-09
"SIMC1",831.84984873587,0.261031875062947,0.0472763639250147,2.88855387822377e-08,1.49225771884618e-07
"SIN3A",3324.69541712311,-0.0242608427459378,0.0325260806688609,0.454238193910971,0.581115996513816
"SIN3B",3608.27554523896,-0.619571665523651,0.0532695995906854,1.25249627638703e-31,3.61343496788227e-30
"SINHCAF",3083.5556450523,-0.695470120074406,0.116493915548504,8.68119214190041e-10,5.3123860471419e-09
"SINHCAFP2",4.44266768876661,-0.24469588992805,0.37682579446133,0.358392540167705,0.490108288822554
"SINHCAFP3",0.0620999901181751,-0.0447633053065479,0.505798010455413,0.896724118835333,NA
"SIPA1",950.946855570171,0.0110839172039876,0.0942756982381525,0.904637908564426,0.937842826017514
"SIPA1L1",3071.43598964539,0.266245910878139,0.0415704383937926,1.31879227846811e-10,8.77645250995379e-10
"SIPA1L2",189.333597197228,-1.3814024032163,0.0868066689679288,8.52754844255808e-58,6.53131308116495e-56
"SIPA1L3",4236.97450712504,-0.42216573359543,0.0490826852123796,5.21092094230287e-18,6.7357021333479e-17
"SIRLNT",72.3407642819413,-2.6604457069925,0.204217227381444,7.05282133086053e-40,2.95888539342652e-38
"SIRPA",119.212259480942,2.03999474164484,0.130706015762192,4.32119329609657e-56,3.15256685147764e-54
"SIRPAP1",0.0601954230522591,0.0416642418167534,0.505338183351689,0.91566044623421,NA
"SIRPB1",236.843472676632,-7.29682582920966,0.311646389095486,7.40317865466281e-121,2.30914798558917e-118
"SIRPB2",0.756177311212407,-0.510910111327274,0.932687413660618,0.0290803768612372,0.0589996107473177
"SIRPB3P",0.325579922180155,-0.190219903729461,0.547838568606444,0.313761045008051,NA
"SIRPD",2.48139326034873,-6.43707492755853,2.54705964799806,9.10337938142444e-08,4.40969910076563e-07
"SIRPG",6.10262496635769,-8.10876657386058,2.71443240391929,1.11659535505916e-13,9.90984133261164e-13
"SIRPG-AS1",0.825318251135142,-0.329772619680523,0.662941515546628,0.0501255960319813,0.0956046683623096
"SIRT1",1866.83782095958,-0.220245743722287,0.102991342468358,0.0289540961163501,0.0587942569900245
"SIRT2",1119.79106692043,0.085649162769398,0.0560794148896152,0.124417337043913,0.209261482327219
"SIRT3",444.047185265309,0.0228258365140109,0.0741360670733986,0.756173939462842,0.834112835073512
"SIRT4",23.9284289354762,-0.050519068923184,0.211327286491183,0.791704807864148,0.861651392962644
"SIRT5",484.798616696742,-0.0561254796711184,0.0612090302431206,0.355713983665175,0.487529539351837
"SIRT6",524.475579315236,-0.0130331748334146,0.0860443663704271,0.877293008647617,0.918478364137778
"SIRT7",769.281806224749,-0.176325655735576,0.095953934918147,0.0608406346356676,0.113143708513682
"SIT1",0.129352815830787,-0.0597868741057606,0.508155735301169,0.804404027940697,NA
"SIVA1",944.230149852489,0.47553042622473,0.0753052660035805,1.64473928949349e-10,1.08616382290515e-09
"SIX1",1422.87559225193,0.333660104412969,0.0914134949517204,0.000203809753805214,0.000625287743605961
"SIX2",205.029094403282,0.128372092354255,0.174592512148116,0.433594149410591,0.56205585036528
"SIX3",16.2188731851812,0.0342066016946839,0.239619950920607,0.871934645521906,0.914511571195052
"SIX3-AS1",0.91825082254669,-0.230516316694275,0.505425278988678,0.305200479742129,0.433967014073078
"SIX4",1058.89380937602,0.234816342240613,0.0708732367903126,0.000818419364214981,0.00227336364953986
"SIX5",428.011866439417,0.146534749309893,0.0823745354155858,0.0713777940816994,0.130241024521097
"SKA1",1693.52931497364,-0.358049333281828,0.0786016001101229,3.87006845321257e-06,1.5263260628558e-05
